Entity 1|Entity 2|Majority Vote Result
analysis|analysis|1
analysis|data integration|0
analysis|data|0
analysis|data package|0
analysis|doi|0
analysis|elasticsearch integration|0
analysis|eml dataset|0
analysis|eprint integration|0
analysis|excel spreadsheet|1
analysis|general reference data|0
analysis|hdf5 integration|1
analysis|integration|0
analysis|interactive preview|0
analysis|microsoft power bi integration|1
analysis|ml dataset|0
analysis|mongo integration|0
analysis|new visualization|1
analysis|online service|0
analysis|preview button|0
analysis|remote - control vocabulary|0
analysis|spss integration|1
analysis|tool|1
analysis|way|1
analysis|web socket protocol|0
app|analysis|1
app|app|1
app|command line tool|1
app|data integration|0
app|data|0
app|data package|0
app|doi|0
app|dspace integration|0
app|elasticsearch integration|1
app|eml dataset|0
app|eprint integration|0
app|excel spreadsheet|1
app|exploratory data analysis|1
app|funding|0
app|general reference data|0
app|hdf5 integration|1
app|integration|1
app|interactive preview|1
app|microsoft power bi integration|1
app|ml dataset|0
app|mongo integration|0
app|new data column|0
app|new visualization|1
app|online service|1
app|preview button|1
app|reference data on inflation|0
app|remote - control vocabulary|0
app|spss integration|1
app|tool|1
app|type information|0
app|useful metadata|0
app|visualization|1
app|way|1
app|web socket protocol|0
command line tool|analysis|1
command line tool|command line tool|1
command line tool|data integration|0
command line tool|data|0
command line tool|data package|0
command line tool|doi|0
command line tool|elasticsearch integration|1
command line tool|eml dataset|0
command line tool|eprint integration|1
command line tool|excel spreadsheet|0
command line tool|general reference data|0
command line tool|hdf5 integration|1
command line tool|integration|1
command line tool|interactive preview|1
command line tool|microsoft power bi integration|1
command line tool|ml dataset|0
command line tool|mongo integration|1
command line tool|new visualization|0
command line tool|online service|1
command line tool|preview button|0
command line tool|remote - control vocabulary|0
command line tool|spss integration|1
command line tool|tool|1
command line tool|useful metadata|0
command line tool|way|1
command line tool|web socket protocol|0
data integration|data integration|1
data integration|microsoft power bi integration|1
data|data integration|0
data|data|1
data|data package|0
data|elasticsearch integration|0
data|general reference data|1
data|microsoft power bi integration|0
data|new visualization|0
data package|data integration|0
data package|data package|1
data package|elasticsearch integration|0
data package|general reference data|0
data package|microsoft power bi integration|0
data package|new visualization|0
doi|data integration|0
doi|data|0
doi|data package|0
doi|doi|1
doi|elasticsearch integration|0
doi|excel spreadsheet|0
doi|general reference data|0
doi|hdf5 integration|0
doi|integration|0
doi|microsoft power bi integration|0
doi|ml dataset|0
doi|new visualization|0
doi|online service|0
doi|preview button|0
doi|remote - control vocabulary|0
doi|spss integration|0
doi|web socket protocol|0
dspace integration|analysis|0
dspace integration|command line tool|0
dspace integration|data integration|1
dspace integration|data|0
dspace integration|data package|0
dspace integration|doi|0
dspace integration|dspace integration|1
dspace integration|elasticsearch integration|1
dspace integration|eml dataset|0
dspace integration|eprint integration|1
dspace integration|excel spreadsheet|0
dspace integration|exploratory data analysis|0
dspace integration|funding|0
dspace integration|general reference data|0
dspace integration|hdf5 integration|1
dspace integration|integration|0
dspace integration|interactive preview|0
dspace integration|microsoft power bi integration|1
dspace integration|ml dataset|0
dspace integration|mongo integration|1
dspace integration|new data column|0
dspace integration|new visualization|0
dspace integration|online service|0
dspace integration|preview button|0
dspace integration|reference data on inflation|0
dspace integration|remote - control vocabulary|0
dspace integration|spss integration|1
dspace integration|tool|0
dspace integration|useful metadata|0
dspace integration|visualization|0
dspace integration|way|0
dspace integration|web socket protocol|0
elasticsearch integration|data integration|1
elasticsearch integration|elasticsearch integration|1
elasticsearch integration|general reference data|0
elasticsearch integration|microsoft power bi integration|0
elasticsearch integration|new visualization|0
eml dataset|data integration|0
eml dataset|data|0
eml dataset|data package|0
eml dataset|doi|0
eml dataset|elasticsearch integration|0
eml dataset|eml dataset|1
eml dataset|eprint integration|0
eml dataset|excel spreadsheet|0
eml dataset|general reference data|0
eml dataset|hdf5 integration|0
eml dataset|integration|0
eml dataset|interactive preview|0
eml dataset|microsoft power bi integration|0
eml dataset|ml dataset|0
eml dataset|mongo integration|0
eml dataset|new visualization|0
eml dataset|online service|0
eml dataset|preview button|0
eml dataset|remote - control vocabulary|0
eml dataset|spss integration|0
eml dataset|way|0
eml dataset|web socket protocol|0
eprint integration|data integration|0
eprint integration|data|0
eprint integration|data package|0
eprint integration|doi|0
eprint integration|elasticsearch integration|0
eprint integration|eprint integration|1
eprint integration|excel spreadsheet|0
eprint integration|general reference data|0
eprint integration|hdf5 integration|0
eprint integration|integration|0
eprint integration|microsoft power bi integration|0
eprint integration|ml dataset|0
eprint integration|new visualization|0
eprint integration|online service|0
eprint integration|preview button|0
eprint integration|remote - control vocabulary|0
eprint integration|spss integration|0
eprint integration|web socket protocol|0
excel spreadsheet|data integration|0
excel spreadsheet|data|1
excel spreadsheet|data package|1
excel spreadsheet|elasticsearch integration|0
excel spreadsheet|excel spreadsheet|1
excel spreadsheet|general reference data|0
excel spreadsheet|hdf5 integration|0
excel spreadsheet|microsoft power bi integration|0
excel spreadsheet|ml dataset|0
excel spreadsheet|new visualization|0
excel spreadsheet|preview button|0
excel spreadsheet|spss integration|0
exist wizard|analysis|1
exist wizard|app|1
exist wizard|command line tool|1
exist wizard|data integration|0
exist wizard|data|0
exist wizard|data package|0
exist wizard|doi|0
exist wizard|dspace integration|0
exist wizard|elasticsearch integration|0
exist wizard|eml dataset|0
exist wizard|eprint integration|0
exist wizard|excel spreadsheet|0
exist wizard|exist wizard|1
exist wizard|exploratory data analysis|0
exist wizard|funding|0
exist wizard|general country name|0
exist wizard|general reference data|0
exist wizard|hdf5 integration|0
exist wizard|how many user|0
exist wizard|integration|0
exist wizard|interactive preview|0
exist wizard|line|1
exist wizard|microsoft power bi integration|0
exist wizard|ml dataset|0
exist wizard|mongo integration|0
exist wizard|netcdf integration|0
exist wizard|new data column|0
exist wizard|new visualization|0
exist wizard|online service|0
exist wizard|preview button|0
exist wizard|reference data on inflation|0
exist wizard|remote - control vocabulary|0
exist wizard|spss integration|0
exist wizard|tool|0
exist wizard|type information|0
exist wizard|useful metadata|0
exist wizard|visualization|0
exist wizard|way|0
exist wizard|web socket protocol|0
exploratory data analysis|analysis|1
exploratory data analysis|command line tool|1
exploratory data analysis|data integration|0
exploratory data analysis|data|0
exploratory data analysis|data package|0
exploratory data analysis|doi|0
exploratory data analysis|elasticsearch integration|1
exploratory data analysis|eml dataset|0
exploratory data analysis|eprint integration|0
exploratory data analysis|excel spreadsheet|0
exploratory data analysis|exploratory data analysis|1
exploratory data analysis|general reference data|0
exploratory data analysis|hdf5 integration|0
exploratory data analysis|integration|0
exploratory data analysis|interactive preview|0
exploratory data analysis|microsoft power bi integration|0
exploratory data analysis|ml dataset|0
exploratory data analysis|mongo integration|0
exploratory data analysis|new visualization|1
exploratory data analysis|online service|0
exploratory data analysis|preview button|1
exploratory data analysis|remote - control vocabulary|0
exploratory data analysis|spss integration|0
exploratory data analysis|tool|0
exploratory data analysis|useful metadata|0
exploratory data analysis|way|0
exploratory data analysis|web socket protocol|0
feather integration|analysis|0
feather integration|app|0
feather integration|command line tool|0
feather integration|data integration|0
feather integration|data|0
feather integration|data package|0
feather integration|doi|0
feather integration|dspace integration|1
feather integration|elasticsearch integration|0
feather integration|eml dataset|0
feather integration|eprint integration|0
feather integration|excel spreadsheet|0
feather integration|exist wizard|0
feather integration|exploratory data analysis|0
feather integration|feather integration|1
feather integration|funding|0
feather integration|general country name|0
feather integration|general reference data|0
feather integration|hdf5 integration|0
feather integration|how many user|0
feather integration|integration|0
feather integration|interactive preview|0
feather integration|jquery plugin|0
feather integration|line|0
feather integration|microsoft power bi integration|0
feather integration|ml dataset|0
feather integration|mongo integration|0
feather integration|netcdf integration|0
feather integration|new data column|0
feather integration|new visualization|0
feather integration|online service|0
feather integration|preview button|0
feather integration|quality of data|0
feather integration|reference data on inflation|0
feather integration|remote - control vocabulary|0
feather integration|reproducible step|0
feather integration|spss integration|0
feather integration|tool|0
feather integration|type information|0
feather integration|useful metadata|0
feather integration|visualization|0
feather integration|way|0
feather integration|web socket protocol|0
funding|analysis|0
funding|command line tool|0
funding|data integration|0
funding|data|0
funding|data package|0
funding|doi|0
funding|elasticsearch integration|0
funding|eml dataset|0
funding|eprint integration|0
funding|excel spreadsheet|0
funding|exploratory data analysis|0
funding|funding|1
funding|general reference data|0
funding|hdf5 integration|0
funding|integration|0
funding|interactive preview|0
funding|microsoft power bi integration|0
funding|ml dataset|0
funding|mongo integration|0
funding|new data column|0
funding|new visualization|0
funding|online service|0
funding|preview button|0
funding|remote - control vocabulary|0
funding|spss integration|0
funding|tool|0
funding|useful metadata|0
funding|way|0
funding|web socket protocol|0
general country name|analysis|0
general country name|app|0
general country name|command line tool|0
general country name|data integration|0
general country name|data|1
general country name|data package|1
general country name|doi|1
general country name|dspace integration|0
general country name|elasticsearch integration|0
general country name|eml dataset|0
general country name|eprint integration|0
general country name|excel spreadsheet|0
general country name|exploratory data analysis|0
general country name|funding|0
general country name|general country name|1
general country name|general reference data|0
general country name|hdf5 integration|0
general country name|integration|0
general country name|interactive preview|0
general country name|line|0
general country name|microsoft power bi integration|0
general country name|ml dataset|0
general country name|mongo integration|0
general country name|new data column|0
general country name|new visualization|0
general country name|online service|0
general country name|preview button|0
general country name|reference data on inflation|0
general country name|remote - control vocabulary|0
general country name|spss integration|0
general country name|tool|0
general country name|type information|1
general country name|useful metadata|1
general country name|visualization|0
general country name|way|0
general country name|web socket protocol|0
general reference data|data integration|0
general reference data|general reference data|1
general reference data|microsoft power bi integration|0
hdf5 integration|data integration|1
hdf5 integration|data|0
hdf5 integration|data package|0
hdf5 integration|elasticsearch integration|0
hdf5 integration|general reference data|0
hdf5 integration|hdf5 integration|1
hdf5 integration|microsoft power bi integration|0
hdf5 integration|ml dataset|1
hdf5 integration|new visualization|0
hdf5 integration|preview button|0
hdf5 integration|spss integration|0
how many user|analysis|0
how many user|app|0
how many user|command line tool|0
how many user|data integration|0
how many user|data|0
how many user|data package|0
how many user|doi|0
how many user|dspace integration|0
how many user|elasticsearch integration|0
how many user|eml dataset|0
how many user|eprint integration|0
how many user|excel spreadsheet|0
how many user|exploratory data analysis|0
how many user|funding|0
how many user|general country name|0
how many user|general reference data|0
how many user|hdf5 integration|0
how many user|how many user|1
how many user|integration|0
how many user|interactive preview|0
how many user|line|0
how many user|microsoft power bi integration|0
how many user|ml dataset|0
how many user|mongo integration|0
how many user|netcdf integration|0
how many user|new data column|0
how many user|new visualization|0
how many user|online service|0
how many user|preview button|0
how many user|reference data on inflation|0
how many user|remote - control vocabulary|0
how many user|spss integration|0
how many user|tool|0
how many user|type information|0
how many user|useful metadata|0
how many user|visualization|0
how many user|way|0
how many user|web socket protocol|0
integration|data integration|1
integration|data|0
integration|data package|0
integration|elasticsearch integration|0
integration|excel spreadsheet|0
integration|general reference data|0
integration|hdf5 integration|0
integration|integration|1
integration|microsoft power bi integration|0
integration|ml dataset|0
integration|new visualization|0
integration|online service|0
integration|preview button|0
integration|remote - control vocabulary|0
integration|spss integration|0
interactive preview|data integration|0
interactive preview|data|0
interactive preview|data package|0
interactive preview|doi|0
interactive preview|elasticsearch integration|0
interactive preview|eprint integration|0
interactive preview|excel spreadsheet|0
interactive preview|general reference data|0
interactive preview|hdf5 integration|0
interactive preview|integration|0
interactive preview|interactive preview|1
interactive preview|microsoft power bi integration|0
interactive preview|ml dataset|0
interactive preview|new visualization|0
interactive preview|online service|0
interactive preview|preview button|0
interactive preview|remote - control vocabulary|0
interactive preview|spss integration|0
interactive preview|way|0
interactive preview|web socket protocol|0
jquery plugin|analysis|0
jquery plugin|app|1
jquery plugin|command line tool|1
jquery plugin|data integration|0
jquery plugin|data|0
jquery plugin|data package|0
jquery plugin|doi|0
jquery plugin|dspace integration|0
jquery plugin|elasticsearch integration|0
jquery plugin|eml dataset|0
jquery plugin|eprint integration|0
jquery plugin|excel spreadsheet|0
jquery plugin|exist wizard|0
jquery plugin|exploratory data analysis|0
jquery plugin|funding|0
jquery plugin|general country name|0
jquery plugin|general reference data|0
jquery plugin|hdf5 integration|0
jquery plugin|how many user|0
jquery plugin|integration|0
jquery plugin|interactive preview|0
jquery plugin|jquery plugin|1
jquery plugin|line|1
jquery plugin|microsoft power bi integration|0
jquery plugin|ml dataset|0
jquery plugin|mongo integration|0
jquery plugin|netcdf integration|0
jquery plugin|new data column|0
jquery plugin|new visualization|0
jquery plugin|online service|1
jquery plugin|preview button|0
jquery plugin|reference data on inflation|0
jquery plugin|remote - control vocabulary|0
jquery plugin|spss integration|0
jquery plugin|tool|1
jquery plugin|type information|0
jquery plugin|useful metadata|0
jquery plugin|visualization|0
jquery plugin|way|1
jquery plugin|web socket protocol|0
line|analysis|0
line|app|0
line|command line tool|0
line|data integration|0
line|data|1
line|data package|1
line|doi|1
line|dspace integration|0
line|elasticsearch integration|0
line|eml dataset|0
line|eprint integration|0
line|excel spreadsheet|0
line|exploratory data analysis|0
line|funding|0
line|general reference data|0
line|hdf5 integration|0
line|integration|0
line|interactive preview|0
line|line|1
line|microsoft power bi integration|0
line|ml dataset|0
line|mongo integration|0
line|new data column|1
line|new visualization|0
line|online service|0
line|preview button|0
line|reference data on inflation|1
line|remote - control vocabulary|0
line|spss integration|0
line|tool|0
line|type information|1
line|useful metadata|1
line|visualization|0
line|way|0
line|web socket protocol|0
microsoft power bi integration|microsoft power bi integration|1
ml dataset|data integration|0
ml dataset|data|0
ml dataset|data package|0
ml dataset|elasticsearch integration|0
ml dataset|general reference data|0
ml dataset|microsoft power bi integration|0
ml dataset|ml dataset|1
ml dataset|new visualization|0
ml dataset|preview button|0
ml dataset|spss integration|0
mongo integration|data integration|1
mongo integration|data|0
mongo integration|data package|0
mongo integration|doi|0
mongo integration|elasticsearch integration|0
mongo integration|eprint integration|0
mongo integration|excel spreadsheet|0
mongo integration|general reference data|0
mongo integration|hdf5 integration|0
mongo integration|integration|0
mongo integration|interactive preview|0
mongo integration|microsoft power bi integration|0
mongo integration|ml dataset|0
mongo integration|mongo integration|1
mongo integration|new visualization|0
mongo integration|online service|0
mongo integration|preview button|0
mongo integration|remote - control vocabulary|0
mongo integration|spss integration|0
mongo integration|way|0
mongo integration|web socket protocol|0
netcdf integration|analysis|0
netcdf integration|app|0
netcdf integration|command line tool|0
netcdf integration|data integration|1
netcdf integration|data|0
netcdf integration|data package|0
netcdf integration|doi|0
netcdf integration|dspace integration|1
netcdf integration|elasticsearch integration|0
netcdf integration|eml dataset|0
netcdf integration|eprint integration|0
netcdf integration|excel spreadsheet|0
netcdf integration|exploratory data analysis|0
netcdf integration|funding|0
netcdf integration|general country name|0
netcdf integration|general reference data|0
netcdf integration|hdf5 integration|1
netcdf integration|integration|0
netcdf integration|interactive preview|0
netcdf integration|line|0
netcdf integration|microsoft power bi integration|0
netcdf integration|ml dataset|0
netcdf integration|mongo integration|0
netcdf integration|netcdf integration|1
netcdf integration|new data column|0
netcdf integration|new visualization|0
netcdf integration|online service|0
netcdf integration|preview button|0
netcdf integration|reference data on inflation|0
netcdf integration|remote - control vocabulary|0
netcdf integration|spss integration|0
netcdf integration|tool|0
netcdf integration|type information|0
netcdf integration|useful metadata|0
netcdf integration|visualization|0
netcdf integration|way|0
netcdf integration|web socket protocol|0
new data column|analysis|0
new data column|command line tool|0
new data column|data integration|0
new data column|data|1
new data column|data package|0
new data column|doi|0
new data column|elasticsearch integration|0
new data column|eml dataset|0
new data column|eprint integration|0
new data column|excel spreadsheet|0
new data column|exploratory data analysis|0
new data column|general reference data|0
new data column|hdf5 integration|0
new data column|integration|0
new data column|interactive preview|0
new data column|microsoft power bi integration|0
new data column|ml dataset|0
new data column|mongo integration|0
new data column|new data column|1
new data column|new visualization|0
new data column|online service|0
new data column|preview button|0
new data column|remote - control vocabulary|0
new data column|spss integration|0
new data column|tool|0
new data column|useful metadata|0
new data column|way|0
new data column|web socket protocol|0
new visualization|data integration|0
new visualization|general reference data|0
new visualization|microsoft power bi integration|0
new visualization|new visualization|1
online service|data integration|0
online service|data|0
online service|data package|0
online service|elasticsearch integration|0
online service|excel spreadsheet|0
online service|general reference data|0
online service|hdf5 integration|0
online service|microsoft power bi integration|1
online service|ml dataset|0
online service|new visualization|0
online service|online service|1
online service|preview button|0
online service|spss integration|0
preview button|data integration|0
preview button|data|0
preview button|data package|0
preview button|elasticsearch integration|0
preview button|general reference data|0
preview button|microsoft power bi integration|0
preview button|new visualization|1
preview button|preview button|1
preview button|spss integration|0
quality of data|analysis|0
quality of data|app|0
quality of data|command line tool|0
quality of data|data integration|0
quality of data|data|0
quality of data|data package|0
quality of data|doi|0
quality of data|dspace integration|0
quality of data|elasticsearch integration|0
quality of data|eml dataset|0
quality of data|eprint integration|0
quality of data|excel spreadsheet|0
quality of data|exist wizard|0
quality of data|exploratory data analysis|0
quality of data|funding|0
quality of data|general country name|0
quality of data|general reference data|0
quality of data|hdf5 integration|0
quality of data|how many user|0
quality of data|integration|0
quality of data|interactive preview|0
quality of data|jquery plugin|0
quality of data|line|0
quality of data|microsoft power bi integration|0
quality of data|ml dataset|0
quality of data|mongo integration|0
quality of data|netcdf integration|0
quality of data|new data column|0
quality of data|new visualization|0
quality of data|online service|0
quality of data|preview button|0
quality of data|quality of data|1
quality of data|reference data on inflation|0
quality of data|remote - control vocabulary|0
quality of data|spss integration|0
quality of data|tool|0
quality of data|type information|0
quality of data|useful metadata|0
quality of data|visualization|0
quality of data|way|0
quality of data|web socket protocol|0
reference data on inflation|analysis|0
reference data on inflation|command line tool|0
reference data on inflation|data integration|0
reference data on inflation|data|0
reference data on inflation|data package|0
reference data on inflation|doi|0
reference data on inflation|elasticsearch integration|0
reference data on inflation|eml dataset|0
reference data on inflation|eprint integration|0
reference data on inflation|excel spreadsheet|0
reference data on inflation|exploratory data analysis|0
reference data on inflation|funding|0
reference data on inflation|general reference data|0
reference data on inflation|hdf5 integration|0
reference data on inflation|integration|0
reference data on inflation|interactive preview|0
reference data on inflation|microsoft power bi integration|0
reference data on inflation|ml dataset|0
reference data on inflation|mongo integration|0
reference data on inflation|new data column|0
reference data on inflation|new visualization|0
reference data on inflation|online service|0
reference data on inflation|preview button|0
reference data on inflation|reference data on inflation|1
reference data on inflation|remote - control vocabulary|0
reference data on inflation|spss integration|0
reference data on inflation|tool|0
reference data on inflation|useful metadata|0
reference data on inflation|way|0
reference data on inflation|web socket protocol|0
remote - control vocabulary|data integration|0
remote - control vocabulary|data|0
remote - control vocabulary|data package|0
remote - control vocabulary|elasticsearch integration|0
remote - control vocabulary|excel spreadsheet|0
remote - control vocabulary|general reference data|0
remote - control vocabulary|hdf5 integration|0
remote - control vocabulary|microsoft power bi integration|0
remote - control vocabulary|ml dataset|0
remote - control vocabulary|new visualization|0
remote - control vocabulary|online service|0
remote - control vocabulary|preview button|0
remote - control vocabulary|remote - control vocabulary|1
remote - control vocabulary|spss integration|0
reproducible step|analysis|1
reproducible step|app|1
reproducible step|command line tool|1
reproducible step|data integration|1
reproducible step|data|0
reproducible step|data package|0
reproducible step|doi|0
reproducible step|dspace integration|1
reproducible step|elasticsearch integration|1
reproducible step|eml dataset|1
reproducible step|eprint integration|1
reproducible step|excel spreadsheet|0
reproducible step|exist wizard|1
reproducible step|exploratory data analysis|0
reproducible step|funding|0
reproducible step|general country name|0
reproducible step|general reference data|0
reproducible step|hdf5 integration|1
reproducible step|how many user|0
reproducible step|integration|1
reproducible step|interactive preview|1
reproducible step|jquery plugin|1
reproducible step|line|1
reproducible step|microsoft power bi integration|1
reproducible step|ml dataset|0
reproducible step|mongo integration|1
reproducible step|netcdf integration|1
reproducible step|new data column|0
reproducible step|new visualization|0
reproducible step|online service|1
reproducible step|preview button|0
reproducible step|quality of data|0
reproducible step|reference data on inflation|0
reproducible step|remote - control vocabulary|0
reproducible step|reproducible step|1
reproducible step|spss integration|0
reproducible step|tool|0
reproducible step|type information|0
reproducible step|useful metadata|0
reproducible step|visualization|0
reproducible step|way|0
reproducible step|web socket protocol|0
spss integration|data integration|1
spss integration|data|0
spss integration|data package|0
spss integration|elasticsearch integration|0
spss integration|general reference data|0
spss integration|microsoft power bi integration|1
spss integration|new visualization|0
spss integration|spss integration|1
tool|data integration|0
tool|data|0
tool|data package|0
tool|doi|0
tool|elasticsearch integration|0
tool|eml dataset|0
tool|eprint integration|0
tool|excel spreadsheet|1
tool|general reference data|0
tool|hdf5 integration|0
tool|integration|0
tool|interactive preview|0
tool|microsoft power bi integration|0
tool|ml dataset|0
tool|mongo integration|0
tool|new visualization|0
tool|online service|1
tool|preview button|0
tool|remote - control vocabulary|0
tool|spss integration|0
tool|tool|1
tool|way|1
tool|web socket protocol|0
type information|analysis|0
type information|command line tool|0
type information|data integration|0
type information|data|0
type information|data package|0
type information|doi|0
type information|dspace integration|0
type information|elasticsearch integration|0
type information|eml dataset|0
type information|eprint integration|0
type information|excel spreadsheet|0
type information|exploratory data analysis|0
type information|funding|0
type information|general reference data|0
type information|hdf5 integration|0
type information|integration|0
type information|interactive preview|0
type information|microsoft power bi integration|0
type information|ml dataset|0
type information|mongo integration|0
type information|new data column|0
type information|new visualization|0
type information|online service|0
type information|preview button|0
type information|reference data on inflation|0
type information|remote - control vocabulary|0
type information|spss integration|0
type information|tool|0
type information|type information|1
type information|useful metadata|1
type information|visualization|0
type information|way|0
type information|web socket protocol|0
useful metadata|analysis|0
useful metadata|data integration|0
useful metadata|data|0
useful metadata|data package|0
useful metadata|doi|0
useful metadata|elasticsearch integration|0
useful metadata|eml dataset|0
useful metadata|eprint integration|0
useful metadata|excel spreadsheet|0
useful metadata|general reference data|0
useful metadata|hdf5 integration|0
useful metadata|integration|0
useful metadata|interactive preview|0
useful metadata|microsoft power bi integration|0
useful metadata|ml dataset|0
useful metadata|mongo integration|0
useful metadata|new visualization|0
useful metadata|online service|0
useful metadata|preview button|0
useful metadata|remote - control vocabulary|0
useful metadata|spss integration|0
useful metadata|tool|0
useful metadata|useful metadata|1
useful metadata|way|0
useful metadata|web socket protocol|0
visualization|analysis|1
visualization|command line tool|0
visualization|data integration|0
visualization|data|0
visualization|data package|0
visualization|doi|0
visualization|elasticsearch integration|0
visualization|eml dataset|0
visualization|eprint integration|0
visualization|excel spreadsheet|0
visualization|exploratory data analysis|0
visualization|funding|0
visualization|general reference data|0
visualization|hdf5 integration|0
visualization|integration|0
visualization|interactive preview|0
visualization|microsoft power bi integration|0
visualization|ml dataset|0
visualization|mongo integration|0
visualization|new data column|0
visualization|new visualization|1
visualization|online service|0
visualization|preview button|0
visualization|reference data on inflation|0
visualization|remote - control vocabulary|0
visualization|spss integration|0
visualization|tool|0
visualization|useful metadata|0
visualization|visualization|1
visualization|way|0
visualization|web socket protocol|0
way|data integration|0
way|data|0
way|data package|0
way|doi|0
way|elasticsearch integration|0
way|eprint integration|0
way|excel spreadsheet|0
way|general reference data|0
way|hdf5 integration|0
way|integration|0
way|microsoft power bi integration|0
way|ml dataset|0
way|new visualization|0
way|online service|0
way|preview button|0
way|remote - control vocabulary|0
way|spss integration|0
way|way|1
way|web socket protocol|0
web socket protocol|data integration|0
web socket protocol|data|0
web socket protocol|data package|0
web socket protocol|elasticsearch integration|0
web socket protocol|excel spreadsheet|0
web socket protocol|general reference data|0
web socket protocol|hdf5 integration|0
web socket protocol|integration|0
web socket protocol|microsoft power bi integration|0
web socket protocol|ml dataset|0
web socket protocol|new visualization|0
web socket protocol|online service|0
web socket protocol|preview button|0
web socket protocol|remote - control vocabulary|0
web socket protocol|spss integration|0
web socket protocol|web socket protocol|1
